,X1,X2,corr,highest_corr,highest_k
523,11,40,,,['k =0']
524,11,41,,,['k =0']
525,11,42,,,['k =0']
526,11,43,,,['k =0']
527,11,44,,,['k =0']
528,11,45,,,['k =0']
529,11,46,,,['k =0']
530,11,47,,,['k =0']
531,11,48,,,['k =0']
532,11,49,,,['k =0']
533,11,50,,,['k =0']
534,11,51,,,['k =0']
535,11,52,,,['k =0']
536,11,53,,,['k =0']
537,11,54,,,['k =0']
538,11,55,,,['k =0']
539,12,13,,,['k =0']
540,12,14,,,['k =0']
541,12,15,,,['k =0']
542,12,16,,,['k =0']
543,12,17,,,['k =0']
544,12,18,,,['k =0']
545,12,19,,,['k =0']
546,12,20,,,['k =0']
547,12,21,,,['k =0']
548,12,22,,,['k =0']
549,12,23,,,['k =0']
550,12,24,,,['k =0']
551,12,25,,,['k =0']
552,12,26,,,['k =0']
553,12,27,,,['k =0']
554,12,28,,,['k =0']
555,12,29,,,['k =0']
556,12,30,,,['k =0']
557,12,31,,,['k =0']
558,12,32,,,['k =0']
559,12,33,,,['k =0']
560,12,34,,,['k =0']
561,12,35,,,['k =0']
562,12,36,,,['k =0']
563,12,37,,,['k =0']
564,12,38,,,['k =0']
565,12,39,,,['k =0']
566,12,40,,,['k =0']
567,12,41,,,['k =0']
568,12,42,,,['k =0']
569,12,43,,,['k =0']
570,12,44,,,['k =0']
571,12,45,,,['k =0']
572,12,46,,,['k =0']
573,12,47,,,['k =0']
574,12,48,,,['k =0']
575,12,49,,,['k =0']
576,12,50,,,['k =0']
577,12,51,,,['k =0']
578,12,52,,,['k =0']
579,12,53,,,['k =0']
580,12,54,,,['k =0']
581,12,55,,,['k =0']
582,13,14,,,['k =0']
583,13,15,,,['k =0']
584,13,16,,,['k =0']
585,13,17,,,['k =0']
586,13,18,,,['k =0']
587,13,19,,,['k =0']
588,13,20,,,['k =0']
589,13,21,,,['k =0']
590,13,22,,,['k =0']
591,13,23,,,['k =0']
592,13,24,,,['k =0']
593,13,25,,,['k =0']
594,13,26,,,['k =0']
595,13,27,,,['k =0']
596,13,28,,,['k =0']
597,13,29,,,['k =0']
598,13,30,,,['k =0']
599,13,31,,,['k =0']
600,13,32,,,['k =0']
601,13,33,,,['k =0']
602,13,34,,,['k =0']
603,13,35,,,['k =0']
604,13,36,,,['k =0']
605,13,37,,,['k =0']
606,13,38,,,['k =0']
607,13,39,,,['k =0']
608,13,40,,,['k =0']
609,13,41,,,['k =0']
610,13,42,,,['k =0']
611,13,43,,,['k =0']
612,13,44,,,['k =0']
613,13,45,,,['k =0']
614,13,46,,,['k =0']
615,13,47,,,['k =0']
616,13,48,,,['k =0']
617,13,49,,,['k =0']
618,13,50,,,['k =0']
619,13,51,,,['k =0']
620,13,52,,,['k =0']
621,13,53,,,['k =0']
622,13,54,,,['k =0']
623,13,55,,,['k =0']
624,14,15,,,['k =0']
625,14,16,,,['k =0']
626,14,17,,,['k =0']
627,14,18,,,['k =0']
628,14,19,,,['k =0']
629,14,20,,,['k =0']
630,14,21,,,['k =0']
631,14,22,,,['k =0']
632,14,23,,,['k =0']
633,14,24,,,['k =0']
634,14,25,,,['k =0']
635,14,26,,,['k =0']
636,14,27,,,['k =0']
637,14,28,,,['k =0']
638,14,29,,,['k =0']
639,14,30,,,['k =0']
640,14,31,,,['k =0']
641,14,32,,,['k =0']
642,14,33,,,['k =0']
643,14,34,,,['k =0']
644,14,35,,,['k =0']
645,14,36,,,['k =0']
646,14,37,,,['k =0']
647,14,38,,,['k =0']
648,14,39,,,['k =0']
649,14,40,,,['k =0']
650,14,41,,,['k =0']
651,14,42,,,['k =0']
652,14,43,,,['k =0']
653,14,44,,,['k =0']
654,14,45,,,['k =0']
655,14,46,,,['k =0']
656,14,47,,,['k =0']
657,14,48,,,['k =0']
658,14,49,,,['k =0']
659,14,50,,,['k =0']
660,14,51,,,['k =0']
661,14,52,,,['k =0']
662,14,53,,,['k =0']
663,14,54,,,['k =0']
664,14,55,,,['k =0']
665,15,16,,,['k =0']
666,15,17,,,['k =0']
667,15,18,,,['k =0']
668,15,19,,,['k =0']
669,15,20,,,['k =0']
670,15,21,,,['k =0']
671,15,22,,,['k =0']
672,15,23,,,['k =0']
673,15,24,,,['k =0']
674,15,25,,,['k =0']
675,15,26,,,['k =0']
676,15,27,,,['k =0']
677,15,28,,,['k =0']
678,15,29,,,['k =0']
679,15,30,,,['k =0']
680,15,31,,,['k =0']
681,15,32,,,['k =0']
682,15,33,,,['k =0']
683,15,34,,,['k =0']
684,15,35,,,['k =0']
685,15,36,,,['k =0']
686,15,37,,,['k =0']
687,15,38,,,['k =0']
688,15,39,,,['k =0']
689,15,40,,,['k =0']
690,15,41,,,['k =0']
691,15,42,,,['k =0']
692,15,43,,,['k =0']
693,15,44,,,['k =0']
694,15,45,,,['k =0']
695,15,46,,,['k =0']
696,15,47,,,['k =0']
697,15,48,,,['k =0']
698,15,49,,,['k =0']
699,15,50,,,['k =0']
700,15,51,,,['k =0']
701,15,52,,,['k =0']
702,15,53,,,['k =0']
703,15,54,,,['k =0']
704,15,55,,,['k =0']
705,16,17,,,['k =0']
706,16,18,,,['k =0']
707,16,19,,,['k =0']
708,16,20,,,['k =0']
709,16,21,,,['k =0']
710,16,22,,,['k =0']
711,16,23,,,['k =0']
712,16,24,,,['k =0']
713,16,25,,,['k =0']
714,16,26,,,['k =0']
715,16,27,,,['k =0']
716,16,28,,,['k =0']
